id,week,weight,regime,gender,dosage
B38626,14,456.3,Control,Male,33%
B38627,1,217.8,Control,Male,33%
B38627,2,265.5,Control,Male,33%
B38627,3,304.6,Control,Male,33%
B38627,4,328.4,Control,Male,33%
B38627,5,348.1,Control,Male,33%
B38627,6,360.5,Control,Male,33%
B38627,7,387.6,Control,Male,33%
B38627,8,404.3,Control,Male,33%
B38627,9,396.1,Control,Male,33%
B38627,10,399.4,Control,Male,33%
B38627,11,435.9,Control,Male,33%
B38627,12,454.8,Control,Male,33%
B38627,13,482.7,Control,Male,33%
B38627,14,485.4,Control,Male,33%
B38628,1,222,Control,Male,33%
B38628,2,256.1,Control,Male,33%
B38628,3,289.2,Control,Male,33%
B38628,4,320.6,Control,Male,33%
B38628,5,345.8,Control,Male,33%
B38628,6,368.8,Control,Male,33%
B38628,7,402.5,Control,Male,33%
B38628,8,434,Control,Male,33%
B38628,9,443.8,Control,Male,33%
B38628,10,459.2,Control,Male,33%
B38628,11,474.3,Control,Male,33%
B38628,12,486.2,Control,Male,33%
B38628,13,500.7,Control,Male,33%
B38628,14,506.1,Control,Male,33%
B38629,1,242.4,Control,Male,33%
B38629,2,300.4,Control,Male,33%
B38629,3,359.6,Control,Male,33%
B38629,4,405.7,Control,Male,33%
B38629,5,441.1,Control,Male,33%
B38629,6,468,Control,Male,33%
B38629,7,504.2,Control,Male,33%
B38629,8,530.1,Control,Male,33%
B38629,9,543.5,Control,Male,33%
B38629,10,568.3,Control,Male,33%
B38629,11,580.6,Control,Male,33%
B38629,12,593.6,Control,Male,33%
B38629,13,609,Control,Male,33%
B38629,14,608,Control,Male,33%
B38630,1,206,Control,Male,33%
B38630,2,257.9,Control,Male,33%
B38630,3,304.1,Control,Male,33%
B38630,4,344.5,Control,Male,33%
B38630,5,373.6,Control,Male,33%
B38630,6,392.2,Control,Male,33%
B38630,7,421.9,Control,Male,33%
B38630,8,451.7,Control,Male,33%
B38630,9,465,Control,Male,33%
B38630,10,494.1,Control,Male,33%
B38630,11,500.8,Control,Male,33%
B38630,12,513,Control,Male,33%
B38630,13,527.4,Control,Male,33%
B38630,14,537.4,Control,Male,33%
B38631,1,234.9,Control,Male,33%
B38631,2,280.3,Control,Male,33%
B38631,3,325.6,Control,Male,33%
B38631,4,351.1,Control,Male,33%
B38631,5,385.2,Control,Male,33%
B38631,6,394.1,Control,Male,33%
B38631,7,423,Control,Male,33%
B38631,8,441.9,Control,Male,33%
B38631,9,455.6,Control,Male,33%
B38631,10,470.3,Control,Male,33%
B38631,11,474.6,Control,Male,33%
B38631,12,481.6,Control,Male,33%
B38631,13,487.3,Control,Male,33%
B38631,14,498.7,Control,Male,33%
B38632,1,219.7,Control,Male,33%
B38632,2,267.6,Control,Male,33%
B38632,3,314.9,Control,Male,33%
B38632,4,348.3,Control,Male,33%
B38632,5,366.6,Control,Male,33%
B38632,6,388.9,Control,Male,33%
B38632,7,417.5,Control,Male,33%
B38632,8,441.8,Control,Male,33%
B38632,9,458,Control,Male,33%
B38632,10,473.3,Control,Male,33%
B38632,11,488.8,Control,Male,33%
B38632,12,495.1,Control,Male,33%
B38632,13,507,Control,Male,33%
B38632,14,518.8,Control,Male,33%
B38633,1,230.7,Control,Male,33%
B38633,2,274.6,Control,Male,33%
B38633,3,316.6,Control,Male,33%
B38633,4,344.3,Control,Male,33%
B38633,5,361.8,Control,Male,33%
B38633,6,385.7,Control,Male,33%
B38633,7,406.3,Control,Male,33%
B38633,8,427.9,Control,Male,33%
B38633,9,429.5,Control,Male,33%
B38633,10,436.5,Control,Male,33%
B38633,11,435.9,Control,Male,33%
